Plant_ID,Common_Name,Scientific_Name,Family,Kingdom,Division,Class,Order,Plant_Type,Life_Span,Leaf_Type,Leaf_Arrangement,Leaf_Shape,Stem_Type,Stem_Texture,Flower_Color,Flower_Type,Flowering_Season,Fruit_Type,Fruit_Color,Root_Type,Habitat,Native_Region_India,Medicinal_Uses,Culinary_Uses,Industrial_Uses,Fragrance,Toxicity_Level
105,Nux Vomica,Strychnos nux-vomica,Loganiaceae,Plantae,Magnoliophyta,Magnoliopsida,Gentianales,Tree,Perennial,Simple,Opposite,Ovate,Woody,Smooth,Green-White,Cyme,Spring,Berry,Orange,Taproot,Western Ghats,South India,Nerve tonic,None,None,None,Highly Toxic
106,Indian Jalap,Operculina turpethum,Convolvulaceae,Plantae,Magnoliophyta,Magnoliopsida,Solanales,Climber,Perennial,Simple,Alternate,Cordate,Twining,Smooth,White,Funnel,Year-round,Capsule,Brown,Taproot,Wasteland,India,Laxative,None,None,None,None
107,Guduchi,Tinospora cordifolia,Menispermaceae,Plantae,Magnoliophyta,Magnoliopsida,Ranunculales,Climber,Perennial,Simple,Alternate,Heart-shaped,Succulent,Papery,Yellow,Raceme,Summer,Drupe,Red,Aerial,Plains/Hedges,India,Immunity,None,None,None,None
108,Velvet Bean,Mucuna pruriens,Fabaceae,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Climber,Annual,Trifoliate,Alternate,Ovate,Soft,Hairy,Purple,Raceme,Winter,Pod,Grey-Black,Taproot,Western Ghats,India,Parkinson's,Vegetable,None,None,Stinging Hair
109,Leadwort,Plumbago zeylanica,Plumbaginaceae,Plantae,Magnoliophyta,Magnoliopsida,Caryophyllales,Shrub,Perennial,Simple,Alternate,Ovate,Green,Smooth,White,Spike,Year-round,Capsule,Sticky,Taproot,Wasteland,India,Skin,None,None,None,None
110,False Daisy,Eclipta alba,Asteraceae,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Herb,Annual,Simple,Opposite,Lanceolate,Fleshy,Hairy,White,Head,Year-round,Achene,Black,Taproot,Wetlands,India,Hair oil,None,Dye,None,None
111,Balloon Vine,Cardiospermum halicacabum,Sapindaceae,Plantae,Magnoliophyta,Magnoliopsida,Sapindales,Climber,Annual,Compound,Alternate,Deltoid,Soft,Smooth,White,Cyme,Year-round,Capsule,Balloon-like,Taproot,Plains,India,Joint pain,Leaves eaten,None,None,None
112,Periwinkle,Catharanthus roseus,Apocynaceae,Plantae,Magnoliophyta,Magnoliopsida,Gentianales,Herb,Perennial,Simple,Opposite,Oval,Green,Smooth,Pink/White,Solitary,Year-round,Follicle,Brown,Taproot,Gardens,India,Cancer/Diabetes,None,Ornamental,None,Toxic
113,Sweet Flag,Acorus calamus,Acoraceae,Plantae,Magnoliophyta,Liliopsida,Acorales,Herb,Perennial,Simple,Basal,Sword-like,Rhizome,Smooth,Greenish,Spadix,Summer,Berry,Red,Rhizome,Wetlands,India,Memory,Spice,Incense,Strong,None
114,Coleus,Plectranthus barbatus,Lamiaceae,Plantae,Magnoliophyta,Magnoliopsida,Lamiales,Herb,Perennial,Simple,Opposite,Ovate,Succulent,Hairy,Blue/Purple,Raceme,Winter,Nutlet,Brown,Fibrous,Hills,South India,Heart/Weight,Pickles,None,Strong,None
115,Lemon Grass,Cymbopogon citratus,Poaceae,Plantae,Magnoliophyta,Liliopsida,Poales,Grass,Perennial,Simple,Alternate,Linear,Clumping,Smooth,Inconspicuous,Panicle,Rare,Grain,None,Fibrous,Gardens,India,Cold/Flu,Tea/Soup,Essential Oil,Citrus,None
116,Vetiver,Chrysopogon zizanioides,Poaceae,Plantae,Magnoliophyta,Liliopsida,Poales,Grass,Perennial,Simple,Alternate,Linear,Clumping,Smooth,Purple,Panicle,Summer,Grain,None,Fibrous,Riverbanks,India,Cooling,Syrup,Mats/Oil,Earthly,None
117,Turmeric,Curcuma longa,Zingiberaceae,Plantae,Magnoliophyta,Liliopsida,Zingiberales,Herb,Perennial,Simple,Basal,Oblong,Rhizome,Smooth,Yellow,Spike,Monsoon,Capsule,None,Rhizome,Gardens,India,Antiseptic,Spice,Dye,Spicy,None
118,Small Cardamom,Elettaria cardamomum,Zingiberaceae,Plantae,Magnoliophyta,Liliopsida,Zingiberales,Herb,Perennial,Simple,Alternate,Lanceolate,Pseudostem,Smooth,White,Panicle,Year-round,Capsule,Green,Rhizome,Western Ghats,Karnataka,Digestion,Spice,Flavor,Strong,None
120,Clove Tree,Syzygium aromaticum,Myrtaceae,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Tree,Perennial,Simple,Opposite,Elliptic,Woody,Smooth,Reddish,Cyme,Winter,Berry,Purple,Taproot,Western Ghats,South India,Toothache,Spice,Oil,Very Strong,None
121,Nutmeg,Myristica fragrans,Myristicaceae,Plantae,Magnoliophyta,Magnoliopsida,Magnoliales,Tree,Perennial,Simple,Alternate,Elliptic,Woody,Smooth,Pale Yellow,Solitary,Year-round,Drupe,Yellow,Taproot,Western Ghats,South India,Sleep aid,Spice,Butter,Mild,None
122,Allspice,Pimenta dioica,Myrtaceae,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Tree,Perennial,Simple,Opposite,Oblong,Woody,Smooth,White,Cyme,Summer,Berry,Black,Taproot,Estates,South India,Digestion,Spice,Oil,Strong,None
123,Stevia,Stevia rebaudiana,Asteraceae,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Herb,Perennial,Simple,Opposite,Ovate,Green,Smooth,White,Head,Year-round,Achene,None,Fibrous,Gardens,India,Diabetes,Sweetener,None,Sweet,None
124,Patchouli,Pogostemon cablin,Lamiaceae,Plantae,Magnoliophyta,Magnoliopsida,Lamiales,Herb,Perennial,Simple,Opposite,Ovate,Square,Hairy,Purple,Spike,Winter,Nutlet,None,Fibrous,Western Ghats,South India,Skin,None,Perfumery,Earthly,None
125,Sarsaparilla (Indian),Hemidesmus indicus,Apocynaceae,Plantae,Magnoliophyta,Magnoliopsida,Gentianales,Climber,Perennial,Simple,Opposite,Linear,Woody,Smooth,Green-Purple,Cyme,Year-round,Follicle,Brown,Taproot,Deciduous,India,Cooling,Syrup,None,Sweet,None
126,Indian Gooseberry,Phyllanthus emblica,Phyllanthaceae,Plantae,Magnoliophyta,Magnoliopsida,Malpighiales,Tree,Perennial,Pinnate,Alternate,Linear,Woody,Smooth,Green,Clusters,Spring,Berry,Green,Taproot,Deciduous,India,Vitamin C,Pickles,Hair oil,None,None
127,Bahera,Terminalia bellirica,Combretaceae,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Tree,Perennial,Simple,Alternate,Obovate,Woody,Rough,Green-Yellow,Spikes,April-June,Drupe,Grey-Brown,Taproot,Deciduous,India,Cough/Cold,None,Tanning,Unpleasant,None
128,Haritaki,Terminalia chebula,Combretaceae,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Tree,Perennial,Simple,Alternate,Ovate,Woody,Rough,White,Spikes,May-June,Drupe,Dark Brown,Taproot,Deciduous,India,Laxative,None,Dye,None,None
129,Red Sandalwood,Pterocarpus santalinus,Fabaceae,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Tree,Perennial,Trifoliate,Alternate,Oval,Woody,Blackish,Yellow,Racemes,April-July,Samara,Brown,Taproot,Rocky hills,South India,Skin/Blood,None,Furniture/Dye,Faint,None
131,Indian Almond,Terminalia catappa,Combretaceae,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Tree,Perennial,Simple,Alternate,Obovate,Woody,Rough,White,Spikes,Year-round,Drupe,Red-Green,Taproot,Coastal,India,Skin,Nut eaten,Timber,None,None
132,Java Cassia,Cassia javanica,Fabaceae,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Tree,Perennial,Pinnate,Alternate,Oblong,Woody,Smooth,Pink-Red,Racemes,Summer,Pod,Black,Taproot,Urban,India,None,None,Ornamental,Mild,None
133,Indian Elm,Holoptelea integrifolia,Ulmaceae,Plantae,Magnoliophyta,Magnoliopsida,Rosales,Tree,Perennial,Simple,Alternate,Elliptic,Woody,Grey,Green,Clusters,Feb-March,Samara,Light Brown,Taproot,Deciduous,India,Skin,None,Timber,None,None
134,Indian Ash Tree,Lannea coromandelica,Anacardiaceae,Plantae,Magnoliophyta,Magnoliopsida,Sapindales,Tree,Perennial,Pinnate,Alternate,Ovate,Woody,Rough,Purplish,Racemes,Feb-April,Drupe,Red,Taproot,Deciduous,India,Ulcers,None,Gum,None,None
135,Satinwood,Chloroxylon swietenia,Rutaceae,Plantae,Magnoliophyta,Magnoliopsida,Sapindales,Tree,Perennial,Pinnate,Alternate,Oblong,Woody,Rough,Creamy,Panicles,March-May,Capsule,Brown,Taproot,Dry Forest,South India,Wounds,None,Luxury Wood,Faint,None
136,Lignum Vitae,Guaiacum officinale,Zygophyllaceae,Plantae,Magnoliophyta,Magnoliopsida,Zygophyllales,Tree,Perennial,Pinnate,Opposite,Oval,Woody,Smooth,Blue,Clusters,Year-round,Capsule,Yellow,Taproot,Gardens,India,Gout,None,Bearings,None,None
137,Screwpine,Pandanus odorifer,Pandanaceae,Plantae,Magnoliophyta,Liliopsida,Pandanales,Shrub,Perennial,Simple,Spiralled,Sword-like,Woody/Fibrous,Prickly,White/Green,Spadix,Summer,Syncarp,Orange,Stilt Root,Coastal,India,Cooling,Flavoring,Essence,Very Strong,None
138,Common Gardenia,Gardenia jasminoides,Rubiaceae,Plantae,Magnoliophyta,Magnoliopsida,Gentianales,Shrub,Perennial,Simple,Opposite,Elliptic,Woody,Smooth,White,Solitary,Summer,Berry,Orange,Taproot,Gardens,India,None,Tea,Dye,Very Strong,None
139,Coral Jasmine,Nyctanthes arbor-tristis,Oleaceae,Plantae,Magnoliophyta,Magnoliopsida,Lamiales,Tree,Perennial,Simple,Opposite,Ovate,Woody,Rough,White-Orange,Cyme,Aug-Oct,Capsule,Brown,Taproot,Forests,India,Sciatica,None,Dye,Strong,None
140,Mexican Creeper,Antigonon leptopus,Polygonaceae,Plantae,Magnoliophyta,Magnoliopsida,Caryophyllales,Climber,Perennial,Simple,Alternate,Heart-shaped,Soft,Smooth,Pink/White,Raceme,Year-round,Achene,Brown,Taproot,Hedges,India,None,Flowers eaten,Ornamental,None,None
141,Cup of Gold,Solandra maxima,Solanaceae,Plantae,Magnoliophyta,Magnoliopsida,Solanales,Climber,Perennial,Simple,Alternate,Elliptic,Woody,Smooth,Yellow,Trumpet,Winter,Berry,Green,Taproot,Gardens,India,None,None,Ornamental,Strong,Toxic
142,Garlic Vine,Mansoa alliacea,Bignoniaceae,Plantae,Magnoliophyta,Magnoliopsida,Lamiales,Climber,Perennial,Compound,Opposite,Ovate,Woody,Smooth,Purple,Funnel,Spring,Capsule,Brown,Taproot,Gardens,India,Cold/Flu,Condiment,None,Garlic-like,None
143,Bleeding Heart Vine,Clerodendrum thomsoniae,Lamiaceae,Plantae,Magnoliophyta,Magnoliopsida,Lamiales,Climber,Perennial,Simple,Opposite,Ovate,Soft,Smooth,White-Red,Cyme,Summer,Berry,Black,Taproot,Gardens,India,None,None,Ornamental,None,None
144,Rangoon Creeper,Combretum indicum,Combretaceae,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Climber,Perennial,Simple,Opposite,Elliptic,Woody,Smooth,Pink-Red,Spikes,Summer,Drupe,Black,Taproot,Gardens,India,Deworming,None,Ornamental,Strong,None
145,Blue Pea,Clitoria ternatea,Fabaceae,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Climber,Perennial,Pinnate,Alternate,Oval,Soft,Smooth,Blue/White,Solitary,Year-round,Pod,Brown,Taproot,Hedges,India,Brain tonic,Tea,Dye,None,None
146,Water Clover,Marsilea quadrifolia,Marsileaceae,Plantae,Pteridophyta,Polypodiopsida,Salviniales,Aquatic,Perennial,Compound,Whorled,Fan-shaped,Soft,Smooth,None,None,None,Sporocarp,Brown,Rhizome,Rice fields,India,Insomnia,Vegetable,None,None,None
147,Common Fern,Adiantum caudatum,Pteridaceae,Plantae,Pteridophyta,Polypodiopsida,Polypodiales,Fern,Perennial,Pinnate,Alternate,Fan-shaped,Soft,Smooth,None,None,None,Spore,Brown,Rhizome,Wet Walls,India,Cough,None,Ornamental,None,None
148,Indian Asparagus,Asparagus racemosus,Asparagaceae,Plantae,Magnoliophyta,Liliopsida,Asparagales,Climber,Perennial,Needle-like,Whorled,Linear,Thorny,Smooth,White,Raceme,Autumn,Berry,Red,Tuberous,Forests,India,Lactation,Vegetable,None,Strong,None
149,Stone Breaker,Phyllanthus niruri,Phyllanthaceae,Plantae,Magnoliophyta,Magnoliopsida,Malpighiales,Herb,Annual,Simple,Alternate,Oblong,Green,Smooth,Yellow,Solitary,Year-round,Capsule,Green,Taproot,Gardens,India,Kidney stones,None,None,None,None
150,Wild Sage,Lippia nodiflora,Verbenaceae,Plantae,Magnoliophyta,Magnoliopsida,Lamiales,Herb,Perennial,Simple,Opposite,Obovate,Creeping,Smooth,Purple/White,Head,Year-round,Nutlet,Brown,Fibrous,Wetlands,India,Diuretic,None,None,None,None
151,Indian Butter Tree,Diploknema butyracea,Sapotaceae,Plantae,Magnoliophyta,Magnoliopsida,Ericales,Tree,Perennial,Simple,Alternate,Elliptic,Woody,Rough,White,Clusters,Jan-March,Berry,Yellow,Taproot,Hilly regions,South India,Skin care,Vegetable butter,Soap,Strong,None
152,Spider Lily,Hymenocallis littoralis,Amaryllidaceae,Plantae,Magnoliophyta,Liliopsida,Asparagales,Herb,Perennial,Simple,Basal,Linear,Bulbous,Smooth,White,Umbel,Summer,Capsule,Green,Bulbous,Coastal,India,Wounds,None,Ornamental,Sweet,None
153,Water Spinach,Ipomoea aquatica,Convolvulaceae,Plantae,Magnoliophyta,Magnoliopsida,Solanales,Herb,Annual,Simple,Alternate,Sagittate,Hollow,Smooth,White/Pink,Funnel,Year-round,Capsule,Brown,Fibrous,Wetlands,India,Diabetes,Green leafy vegetable,None,None,None
154,Bitter Gourd,Momordica charantia,Cucurbitaceae,Plantae,Magnoliophyta,Magnoliopsida,Cucurbitales,Climber,Annual,Simple,Alternate,Palmate,Soft,Hairy,Yellow,Solitary,Summer,Berry,Orange,Taproot,Gardens,India,Diabetes,Vegetable,None,None,None
155,Bottle Gourd,Lagenaria siceraria,Cucurbitaceae,Plantae,Magnoliophyta,Magnoliopsida,Cucurbitales,Climber,Annual,Simple,Alternate,Heart-shaped,Soft,Hairy,White,Solitary,Summer,Pepo,Green,Taproot,Gardens,India,Cooling,Vegetable,Utensils,None,None
156,Wild Bitter Gourd,Momordica dioica,Cucurbitaceae,Plantae,Magnoliophyta,Magnoliopsida,Cucurbitales,Climber,Perennial,Simple,Alternate,Ovate,Soft,Smooth,Yellow,Solitary,Monsoon,Berry,Green/Yellow,Tuberous,Forests,India,Fever,Vegetable,None,None,None
157,Snake Gourd,Trichosanthes cucumerina,Cucurbitaceae,Plantae,Magnoliophyta,Magnoliopsida,Cucurbitales,Climber,Annual,Simple,Alternate,Palmate,Soft,Hairy,White,Fringed,Monsoon,Berry,Green-White,Taproot,Gardens,India,Digestion,Vegetable,None,Strong,None
158,Ridge Gourd,Luffa acutangula,Cucurbitaceae,Plantae,Magnoliophyta,Magnoliopsida,Cucurbitales,Climber,Annual,Simple,Alternate,Palmate,Soft,Rough,Yellow,Raceme,Summer,Pepo,Green,Taproot,Gardens,India,Digestion,Vegetable,Fiber sponge,None,None
159,Sponge Gourd,Luffa aegyptiaca,Cucurbitaceae,Plantae,Magnoliophyta,Magnoliopsida,Cucurbitales,Climber,Annual,Simple,Alternate,Palmate,Soft,Rough,Yellow,Raceme,Summer,Pepo,Green,Taproot,Gardens,India,Skin,Vegetable,Natural sponge,None,None
160,Ash Gourd,Benincasa hispida,Cucurbitaceae,Plantae,Magnoliophyta,Magnoliopsida,Cucurbitales,Climber,Annual,Simple,Alternate,Heart-shaped,Soft,Hairy,Yellow,Solitary,Summer,Pepo,Waxy Grey,Taproot,Gardens,India,Nervine tonic,Sweets/Curry,None,None,None
161,Red Gram,Cajanus cajan,Fabaceae,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Shrub,Perennial,Trifoliate,Alternate,Oblong,Woody,Smooth,Yellow/Red,Raceme,Winter,Pod,Green/Brown,Taproot,Plains,India,Wounds,Pulse/Dal,Fodder,None,None
162,Black Gram,Vigna mungo,Fabaceae,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Herb,Annual,Trifoliate,Alternate,Ovate,Soft,Hairy,Yellow,Clusters,Summer,Pod,Black,Taproot,Plains,India,Weight gain,Pulse,None,None,None
163,Green Gram,Vigna radiata,Fabaceae,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Herb,Annual,Trifoliate,Alternate,Ovate,Soft,Hairy,Yellow,Clusters,Summer,Pod,Black/Brown,Taproot,Plains,India,Cooling,Pulse,None,None,None
164,Chickpea,Cicer arietinum,Fabaceae,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Herb,Annual,Pinnate,Alternate,Ovate,Soft,Glandular,Pink/White,Solitary,Winter,Pod,Green,Taproot,Dry plains,India,Digestion,Pulse,None,None,None
165,Horse Gram,Macrotyloma uniflorum,Fabaceae,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Herb,Annual,Trifoliate,Alternate,Ovate,Soft,Smooth,Creamy,Clusters,Winter,Pod,Light Brown,Taproot,Arid regions,South India,Kidney stones,Soup/Pulse,Fodder,None,None
166,Sesame,Sesamum indicum,Pedaliaceae,Plantae,Magnoliophyta,Magnoliopsida,Lamiales,Herb,Annual,Simple,Opposite,Lanceolate,Green,Hairy,White/Pink,Tubular,Summer,Capsule,Green,Taproot,Plains,India,Skin/Hair,Oil/Seeds,None,None,None
167,Linseed,Linum usitatissimum,Linaceae,Plantae,Magnoliophyta,Magnoliopsida,Malpighiales,Herb,Annual,Simple,Alternate,Linear,Green,Smooth,Blue,Cyme,Winter,Capsule,Brown,Taproot,Dry regions,India,Omega-3,Oil,Fiber/Linen,None,None
168,Mustard (Indian),Brassica juncea,Brassicaceae,Plantae,Magnoliophyta,Magnoliopsida,Brassicales,Herb,Annual,Simple,Alternate,Lobbed,Green,Smooth,Yellow,Raceme,Winter,Silique,Brown,Taproot,Plains,India,Pain relief,Spice/Oil,None,Pungent,None
169,Fenugreek,Trigonella foenum-graecum,Fabaceae,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Herb,Annual,Trifoliate,Alternate,Obovate,Green,Smooth,White,Solitary,Winter,Pod,Yellow-Brown,Taproot,Gardens,India,Diabetes,Spice/Leaf,None,Strong,None
170,Coriander,Coriandrum sativum,Apiaceae,Plantae,Magnoliophyta,Magnoliopsida,Apiales,Herb,Annual,Compound,Alternate,Feathery,Green,Smooth,White/Pink,Umbel,Winter,Schizocarp,Brown,Taproot,Gardens,India,Digestion,Herb/Spice,None,Strong,None
171,Cumin,Cuminum cyminum,Apiaceae,Plantae,Magnoliophyta,Magnoliopsida,Apiales,Herb,Annual,Compound,Alternate,Linear,Green,Smooth,White/Pink,Umbel,Winter,Schizocarp,Grey-Brown,Taproot,Arid regions,India,Digestion,Spice,None,Strong,None
172,Fennel,Foeniculum vulgare,Apiaceae,Plantae,Magnoliophyta,Magnoliopsida,Apiales,Herb,Perennial,Compound,Alternate,Feathery,Hollow,Smooth,Yellow,Umbel,Summer,Schizocarp,Green-Brown,Taproot,Dry plains,India,Gas relief,Spice,None,Anise-like,None
173,Dill,Anethum graveolens,Apiaceae,Plantae,Magnoliophyta,Magnoliopsida,Apiales,Herb,Annual,Compound,Alternate,Feathery,Hollow,Smooth,Yellow,Umbel,Summer,Schizocarp,Brown,Taproot,Gardens,India,Infant colic,Spice,None,Strong,None
174,Ajwain,Trachyspermum ammi,Apiaceae,Plantae,Magnoliophyta,Magnoliopsida,Apiales,Herb,Annual,Compound,Alternate,Feathery,Green,Hairy,White,Umbel,Winter,Schizocarp,Brown,Taproot,Dry regions,India,Indigestion,Spice,None,Strong,None
175,Henna,Lawsonia inermis,Lythraceae,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Shrub,Perennial,Simple,Opposite,Elliptic,Woody,Smooth,White/Red,Panicle,Summer,Capsule,Brown,Taproot,Dry regions,India,Cooling,None,Dye,Sweet,None
176,Common Sage,Salvia officinalis,Lamiaceae,Plantae,Magnoliophyta,Magnoliopsida,Lamiales,Shrub,Perennial,Simple,Opposite,Oblong,Woody base,Pubescent,Blue/Purple,Spike,Summer,Nutlet,Brown,Taproot,Hilly gardens,India,Sore throat,Herb,None,Strong,None
177,Spearmint,Mentha spicata,Lamiaceae,Plantae,Magnoliophyta,Magnoliopsida,Lamiales,Herb,Perennial,Simple,Opposite,Ovate,Square,Smooth,Purple/White,Spike,Summer,Nutlet,Brown,Fibrous,Wetlands,India,Nausea,Flavoring,None,Menthol,None
178,Peppermint,Mentha piperita,Lamiaceae,Plantae,Magnoliophyta,Magnoliopsida,Lamiales,Herb,Perennial,Simple,Opposite,Ovate,Square,Smooth,Purple,Spike,Summer,Nutlet,Brown,Fibrous,Wetlands,India,Headache,Flavoring,Oil,Strong,None
179,Lemon Balm,Melissa officinalis,Lamiaceae,Plantae,Magnoliophyta,Magnoliopsida,Lamiales,Herb,Perennial,Simple,Opposite,Ovate,Square,Hairy,White/Yellow,Clusters,Summer,Nutlet,Brown,Fibrous,Hills,India,Anxiety,Tea,None,Citrus,None
180,Rosemary,Salvia rosmarinus,Lamiaceae,Plantae,Magnoliophyta,Magnoliopsida,Lamiales,Shrub,Perennial,Simple,Opposite,Linear,Woody,Rough,Blue/White,Clusters,Spring,Nutlet,Brown,Taproot,Hills,India,Memory,Herb,Oil,Strong,None
181,Thyme,Thymus vulgaris,Lamiaceae,Plantae,Magnoliophyta,Magnoliopsida,Lamiales,Shrub,Perennial,Simple,Opposite,Ovate,Woody base,Hairy,Purple/White,Clusters,Summer,Nutlet,Brown,Fibrous,Hills,India,Antiseptic,Spice,None,Strong,None
183,Marjoram,Origanum majorana,Lamiaceae,Plantae,Magnoliophyta,Magnoliopsida,Lamiales,Herb,Perennial,Simple,Opposite,Ovate,Square,Hairy,White/Pink,Clusters,Summer,Nutlet,Brown,Fibrous,Gardens,India,Digestion,Spice,None,Strong,None
184,Sweet Basil,Ocimum basilicum,Lamiaceae,Plantae,Magnoliophyta,Magnoliopsida,Lamiales,Herb,Annual,Simple,Opposite,Ovate,Square,Smooth,White,Raceme,Year-round,Nutlet,Black,Taproot,Gardens,India,Stomach ache,Culinary herb,None,Strong,None
185,Camphor Tree,Cinnamomum camphora,Lauraceae,Plantae,Magnoliophyta,Magnoliopsida,Laurales,Tree,Perennial,Simple,Alternate,Ovate,Woody,Fissured,Yellow-White,Panicle,Spring,Berry,Black,Taproot,Hills,South India,Pain relief,None,Camphor,Strong,None
186,Eucalyptus,Eucalyptus globulus,Myrtaceae,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Tree,Perennial,Simple,Alternate,Lanceolate,Woody,Peeling,White,Solitary,Winter,Capsule,Woody,Taproot,Plantations,South India,Cough/Cold,None,Oil/Paper,Strong,None
187,Silver Wattle,Acacia dealbata,Fabaceae,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Tree,Perennial,Bipinnate,Alternate,Linear,Woody,Smooth,Yellow,Globose,Spring,Pod,Brown,Taproot,Hills,South India,None,None,Tanning/Flower,Sweet,None
188,Black Wattle,Acacia mearnsii,Fabaceae,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Tree,Perennial,Bipinnate,Alternate,Linear,Woody,Rough,Pale Yellow,Globose,Summer,Pod,Black,Taproot,Hills,South India,None,None,Tanning/Timber,Mild,None
189,Tea Plant,Camellia sinensis,Theaceae,Plantae,Magnoliophyta,Magnoliopsida,Ericales,Shrub,Perennial,Simple,Alternate,Elliptic,Woody,Smooth,White,Solitary,Year-round,Capsule,Brown,Taproot,Western Ghats,South India,Antioxidant,Beverage,None,Mild,None
190,Cacao Tree,Theobroma cacao,Malvaceae,Plantae,Magnoliophyta,Magnoliopsida,Malvales,Tree,Perennial,Simple,Alternate,Oblong,Woody,Rough,Pink/White,Cauliflorous,Year-round,Pod,Yellow/Red,Taproot,Estates,South India,None,Chocolate,None,None,None
191,Vanilla Vine,Vanilla planifolia,Orchidaceae,Plantae,Magnoliophyta,Liliopsida,Asparagales,Climber,Perennial,Simple,Alternate,Elliptic,Succulent,Smooth,Green-Yellow,Raceme,Spring,Pod,Dark Brown,Adventitious,Western Ghats,South India,None,Flavoring,None,Sweet,None
192,Rubber Plant,Hevea brasiliensis,Euphorbiaceae,Plantae,Magnoliophyta,Magnoliopsida,Malpighiales,Tree,Perennial,Trifoliate,Alternate,Elliptic,Woody,Smooth,Yellow,Panicle,Summer,Capsule,Brown,Taproot,Plantations,South India,None,None,Latex/Rubber,None,Sap Toxic
193,Physic Nut,Jatropha curcas,Euphorbiaceae,Plantae,Magnoliophyta,Magnoliopsida,Malpighiales,Shrub,Perennial,Simple,Alternate,Lobbed,Woody,Smooth,Yellow-Green,Cyme,Year-round,Capsule,Black,Taproot,Wasteland,India,Skin/Purgative,None,Biodiesel,None,Highly Toxic
194,Gopher Plant,Euphorbia lathyris,Euphorbiaceae,Plantae,Magnoliophyta,Magnoliopsida,Malpighiales,Herb,Biennial,Simple,Opposite,Linear,Succulent,Smooth,Green,Cyme,Summer,Capsule,Grey,Taproot,Gardens,India,Purgative,None,Rodent repellent,None,Highly Toxic
195,Poinsettia,Euphorbia pulcherrima,Euphorbiaceae,Plantae,Magnoliophyta,Magnoliopsida,Malpighiales,Shrub,Perennial,Simple,Alternate,Ovate,Woody,Smooth,Red/Yellow,Cyathium,Winter,Capsule,Brown,Taproot,Gardens,India,None,None,Ornamental,None,Sap Irritant
196,Crown of Thorns,Euphorbia milii,Euphorbiaceae,Plantae,Magnoliophyta,Magnoliopsida,Malpighiales,Shrub,Perennial,Simple,Alternate,Obovate,Thorny,Fleshy,Red/Pink,Cyathium,Year-round,Capsule,Brown,Taproot,Gardens,India,None,None,Ornamental,None,Sap Toxic
197,Slipper Plant,Euphorbia tithymaloides,Euphorbiaceae,Plantae,Magnoliophyta,Magnoliopsida,Malpighiales,Shrub,Perennial,Simple,Alternate,Ovate,Succulent,Smooth,Red,Cyathium,Year-round,Capsule,Brown,Taproot,Hedges,India,None,None,Ornamental,None,Sap Irritant
198,Copper Leaf,Acalypha wilkesiana,Euphorbiaceae,Plantae,Magnoliophyta,Magnoliopsida,Malpighiales,Shrub,Perennial,Simple,Alternate,Ovate,Woody,Smooth,Reddish,Spike,Year-round,Capsule,Brown,Taproot,Gardens,India,Skin,None,Ornamental,None,None
199,Snake Plant,Dracaena trifasciata,Asparagaceae,Plantae,Magnoliophyta,Liliopsida,Asparagales,Succulent,Perennial,Simple,Basal,Sword-like,Stemless,Smooth,Greenish-White,Raceme,Spring,Berry,Orange,Fibrous,Gardens,India,Air purify,None,Fiber,None,Low
200,Lucky Bamboo,Dracaena sanderiana,Asparagaceae,Plantae,Magnoliophyta,Liliopsida,Asparagales,Shrub,Perennial,Simple,Alternate,Lanceolate,Fleshy,Smooth,White,Clusters,Rarely,Berry,Orange,Fibrous,Indoor,India,None,None,Ornamental,None,Low
202,Pride of India,Lagerstroemia speciosa,Lythraceae,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Tree,Perennial,Simple,Opposite,Elliptic,Woody,Smooth,Pink/Purple,Panicle,April-June,Capsule,Brown,Taproot,Western Ghats,South India,Diabetes,None,Timber,None,None
203,Cannonball Tree,Couroupita guianensis,Lecythidaceae,Plantae,Magnoliophyta,Magnoliopsida,Ericales,Tree,Perennial,Simple,Alternate,Oblong,Woody,Rough,Pink-Yellow,Cauliflorous,Large Berry,Brown,Taproot,Temples/Parks,South India,Skin/Pain,None,Sacred,Strongly Sweet,None,
